r002,r003,r004,r005,r006,label
9249637,10399126,95517,42,147419,maligne
9315181,9482899,93362,45,151296,maligne
9307233,10021192,95836,46,150263,maligne
9307831,10176974,94699,42,149356,maligne
9246011,10191241,87978,45,150118,maligne
9338491,10273877,91191,44,146840,maligne
9276553,10186717,87610,45,149846,maligne
9283181,10178499,91063,45,147278,maligne
9380059,9403697,87089,45,149963,maligne
9266960,10150099,89509,43,151233,maligne
9577123,10198409,86474,47,149751,maligne
9226068,10262296,88413,45,149080,maligne
9214118,10216037,89743,46,147126,maligne
9210827,10212729,88626,45,150060,maligne
9272616,10282163,90696,46,147569,maligne
9297540,10268582,87716,43,149226,maligne
9263912,10088180,88521,46,147002,maligne
9281983,10285777,94399,47,147261,maligne
9330155,10224360,89204,45,149541,maligne
9279663,10173413,93662,44,148154,maligne
9300620,9464653,81038,47,151741,maligne
9201770,10139916,90127,44,148516,maligne
9291902,10198141,92389,45,151847,maligne
9241523,10139218,89070,45,150058,maligne
9230441,9631139,93060,44,155743,maligne
9288122,9950666,82164,42,150492,maligne
9310659,10193075,86065,44,149241,maligne
9319784,9678477,89607,43,151726,maligne
9260969,10120016,83179,45,149680,maligne
9191519,10198904,90700,42,153720,maligne
9253761,10257759,80293,45,149646,maligne
9256594,10377305,89345,45,150843,maligne
9148360,10203391,89799,45,148796,maligne
9345760,10031882,85046,46,148316,maligne
9200776,9977855,89339,46,149947,maligne
9238257,10038834,86163,43,147845,maligne
9296125,10221427,90173,46,148760,maligne
9215616,10162206,88867,45,149868,maligne
9171480,10487707,86387,44,149136,maligne
9215352,10213808,87577,43,152447,maligne
9272491,10155904,87324,47,148840,maligne
9273672,10273641,87732,45,149924,maligne
9283820,9987536,89215,45,149324,maligne
9261634,9841818,91687,47,149414,maligne
9189910,9511155,88711,46,149863,maligne
9228388,10102678,82937,46,147245,maligne
9247876,10186440,87527,48,150789,maligne
9206137,10226907,85211,46,147670,maligne
9569185,10254956,83546,45,150725,maligne
9266074,10200072,89054,45,149928,maligne
9231507,10178869,86134,43,148320,maligne
9167476,9538149,90287,46,151163,maligne
9210712,10124520,86506,45,149136,maligne
9262892,10305844,89226,43,151340,maligne
9203771,9578208,88129,44,151427,maligne
9138642,10279105,84636,45,155333,maligne
9180723,10112542,92922,47,149963,maligne
9143535,10354677,88465,47,149375,maligne
9272030,9344874,90480,46,149933,maligne
9247635,10147694,86769,44,148877,maligne
9167625,10143202,88482,47,149286,maligne
9142009,10028060,95802,45,149008,maligne
9202651,10354397,86334,45,149381,maligne
9225652,10353914,91520,45,150095,maligne
9244858,10184727,90239,44,149209,maligne
9325124,10248098,89497,44,150133,maligne
9364273,10171950,88807,43,148183,maligne
9198560,10276005,87576,46,149549,maligne
9221309,10101285,89551,44,150958,maligne
9294846,10298978,87609,45,149591,maligne
9348849,9461943,93633,46,149834,maligne
9299148,10107691,89017,45,147589,maligne
9274837,10276708,85621,43,149016,maligne
9284382,10177553,94504,45,149499,maligne
9288376,10296123,85396,45,147093,maligne
9267140,10179223,93834,44,147139,maligne
9302814,10106529,89836,45,148543,maligne
9367080,9409615,91239,46,147879,maligne
9189733,10062596,92067,46,151107,maligne
9268501,10211879,85321,46,149138,maligne
